ID	PThresh	OR	Pvalue	Beta	SE	CI95_lower	CI95_upper	NAnnotThesh	NAnnot	NThresh	N	linkID	Annotation	GWAS	logpval	SEmin	SEmax
1	1e-04	1.06800084300175	0.655546714229241	0.0657885298651758	0.147484781226944	-0.223281641339635	0.354858701069987	117	712	341	2146	0	MON hCRD	RBC	0.183396355066014	0.920516061774806	1.21548562422869
1	1e-05	1.11483005691391	0.498103545200722	0.108701977971841	0.16045124082129	-0.205782454037887	0.42318640998157	96	712	272	2146	0	MON hCRD	RBC	0.302680367210336	0.95437881609262	1.2752812977352
1	5e-08	1.24178129833957	0.265723554044835	0.2165468797125	0.194567593383738	-0.164805603319627	0.597899362744627	62	712	172	2146	0	MON hCRD	RBC	0.575569947515532	1.04721370495583	1.43634889172331
1	1e-09	1.01374957782615	0.951568396410648	0.0136559099997064	0.224835509909442	-0.427021689422799	0.454333509422212	42	712	130	2146	0	MON hCRD	RBC	0.0215599902291218	0.788914067916708	1.23858508773559
2	0.01	0.973345941532991	0.82366831175842	-0.0270157188420313	0.121239490653134	-0.264645120522173	0.210613682838111	201	565	735	2146	1	NEU hCRD	RBC	0.0842476419114027	0.852106450879857	1.09458543218613
2	0.001	1.02595893644438	0.849427861212309	0.0256277229889436	0.134990400321875	-0.238953461641931	0.290208907619818	135	565	482	2146	1	NEU hCRD	RBC	0.0708734982637248	0.890968536122505	1.16094933676625
2	1e-04	0.977764450656215	0.883134213407652	-0.0224864859556376	0.152972183582207	-0.322311965776763	0.277338993865488	94	565	341	2146	1	NEU hCRD	RBC	0.0539732899524696	0.824792267074008	1.13073663423842
2	1e-05	0.859321993945712	0.372453424942428	-0.151611579801739	0.169989645492859	-0.484791284967742	0.181568125364265	71	565	272	2146	1	NEU hCRD	RBC	0.428928027761728	0.689332348452853	1.02931163943857
2	5e-08	0.89299002608748	0.583968838512908	-0.113179867162995	0.206684704179503	-0.518281887354821	0.291922153028832	47	565	172	2146	1	NEU hCRD	RBC	0.233610326899524	0.686305321907977	1.09967473026698
2	1e-09	0.820415493589579	0.400148109363185	-0.197944367553195	0.235268057797471	-0.659069760836239	0.263181025729848	33	565	130	2146	1	NEU hCRD	RBC	0.397779230738224	0.585147435792108	1.05568355138705
3	0.01	1.10490262180902	0.596033259397872	0.0997572060267661	0.188180854486519	-0.26907726876681	0.468591680820342	67	177	735	2146	2	TCL hCRD	RBC	0.22472950541085	0.916721767322501	1.29308347629554
3	0.001	1.30785118886342	0.18705559517872	0.268385476580615	0.203424100115991	-0.130325759646726	0.667096712807957	46	177	482	2146	2	TCL hCRD	RBC	0.728029296720517	1.10442708874743	1.51127528897941
3	1e-04	1.31639710508254	0.225364039534892	0.274898538967747	0.226741460869283	-0.169514724336048	0.719311802271542	33	177	341	2146	2	TCL hCRD	RBC	0.647115381446537	1.08965564421326	1.54313856595182
3	1e-05	1.24615209491311	0.374127897895969	0.220060479459171	0.24760177586319	-0.265239001232682	0.705359960151023	26	177	272	2146	2	TCL hCRD	RBC	0.426979906208273	0.99855031904992	1.4937538707763
3	5e-08	1.31870505810325	0.348694446593891	0.276650238498116	0.295211784798179	-0.301964859706314	0.855265336702547	18	177	172	2146	2	TCL hCRD	RBC	0.457554969265361	1.02349327330507	1.61391684290143
3	1e-09	1.05104677374965	0.886846939746118	0.049786594947973	0.349882779676561	-0.635983653218087	0.735556843114033	12	177	130	2146	2	TCL hCRD	RBC	0.0521513282625372	0.701163994073089	1.40092955342621
1	0.01	0.934079320357172	0.559859347649732	-0.0681939189233106	0.11696058291638	-0.297436661439416	0.161048823592795	233	724	712	2164	0	MON hCRD	RC	0.251921066229548	0.817118737440792	1.05103990327355
1	0.001	0.820286721374509	0.154245757590406	-0.198101339627908	0.139048370871997	-0.470636146537022	0.0744334672812067	125	724	424	2164	0	MON hCRD	RC	0.811786772062397	0.681238350502512	0.959335092246506
1	1e-04	0.698223347107909	0.0316934496344148	-0.359216245872981	0.167212985517967	-0.686953697488196	-0.0314787942577658	75	724	288	2164	0	MON hCRD	RC	1.49903048799003	0.531010361589942	0.865436332625876
1	1e-05	0.716750754549939	0.0773709817745277	-0.333027121481243	0.188561250734452	-0.702607172920768	0.0365529299582826	58	724	214	2164	0	MON hCRD	RC	1.11142189226539	0.528189503815487	0.905312005284391
1	5e-08	0.725321625127955	0.176374844117098	-0.321140101631962	0.237529402208989	-0.786697729961581	0.144417526697658	32	724	130	2164	0	MON hCRD	RC	0.75356335707382	0.487792222918966	0.962851027336944
1	1e-09	0.758450901167803	0.295790490944597	-0.27647721377481	0.264444173983463	-0.794787794782398	0.241833367232777	27	724	106	2164	0	MON hCRD	RC	0.529015791788315	0.49400672718434	1.02289507515127
2	0.01	1.12507328704206	0.338766145175051	0.117848177571993	0.123194057047275	-0.123612174240665	0.359308529384651	200	560	712	2164	1	NEU hCRD	RC	0.470099997686998	1.00187922999479	1.24826734408934
2	0.001	1.32943564056484	0.0412624954593252	0.284754521777662	0.139525183175864	0.0112851627529685	0.558223880802357	135	560	424	2164	1	NEU hCRD	RC	1.38444451045297	1.18991045738898	1.4689608237407
2	1e-04	1.36650909401408	0.0512749980110962	0.312259381332065	0.160201115921112	-0.00173480587331348	0.626253568537444	93	560	288	2164	1	NEU hCRD	RC	1.29009434780543	1.20630797809297	1.52671020993519
2	1e-05	1.41393603243987	0.0516460606351573	0.34637732772397	0.177987906951838	-0.00247896990163265	0.695233625349572	69	560	214	2164	1	NEU hCRD	RC	1.28696279921038	1.23594812548803	1.59192393939171
2	5e-08	1.24737145871862	0.322400214916138	0.221038504231335	0.223375563327342	-0.216777599890256	0.658854608352925	41	560	130	2164	1	NEU hCRD	RC	0.491604677360552	1.02399589539128	1.47074702204596
